text,category
Garbage is lying on the road,Garbage
Waste is not collected,Garbage
Trash piled up near my house,Garbage
Dustbin is overflowing on the street,Garbage
Garbage has not been picked up for days,Garbage
Rotting waste near the park entrance,Garbage
Litter scattered all over the footpath,Garbage
Municipal van has not come to collect waste,Garbage
Filth and garbage everywhere near bus stop,Garbage
Waste dumped illegally near the wall,Garbage
Debris and garbage blocking the lane,Garbage
Solid waste piling up outside shops,Garbage
No garbage collection since a week,Garbage
Rubbish heap near the school gate,Garbage
Sanitation worker has not come today,Garbage
Putrid smell from uncollected waste,Garbage
Household trash dumped on the roadside,Garbage
Garbage truck not arrived in our colony,Garbage
Waste lying outside temple for days,Garbage
Refuse collection is very irregular here,Garbage
Plastic waste scattered near drain,Garbage
Construction debris mixed with household trash,Garbage
Garbage bin full and nobody is clearing it,Garbage
Smell of rotting garbage in the lane,Garbage
Waste accumulation near vegetable market,Garbage
Trash not removed after festival celebration,Garbage
Animal waste and garbage mixed on road,Garbage
Uncollected garbage attracting stray dogs,Garbage
Bags of trash piled since Monday,Garbage
Our area has no garbage collection facility,Garbage
Door to door collection stopped suddenly,Garbage
Refuse heap growing bigger every day,Garbage
Garbage spilling out of the overflowing bin,Garbage
Children playing near exposed garbage mound,Garbage
Waste not lifted even on weekends,Garbage
Open dumping happening near the park,Garbage
Night soil and waste smell unbearable,Garbage
Autorickshaw carrying garbage broke down and left it,Garbage
Garbage piled at the corner of the lane,Garbage
Bio-medical waste dumped on public road,Garbage
Shop owners dumping garbage on road,Garbage
Waste burning creating smoke and smell,Garbage
Flies swarming over garbage heap,Garbage
Rats visible near uncollected trash,Garbage
No dustbin provided in our area,Garbage
Broken dustbin not replaced by municipality,Garbage
Waste collection timing is very irregular,Garbage
Slum area garbage not collected at all,Garbage
Kitchen waste thrown on footpath,Garbage
Garbage not collected in our society,Garbage
Roadside garbage not cleared after rain,Garbage
Old mattress and furniture dumped on road,Garbage
Dead tree branches mixed with garbage,Garbage
Mixed waste lying uncollected near bus stop,Garbage
Garbage problem in our gali since three days,Garbage
Please send sweeper to our area today,Garbage
Waste overflowing onto the road from compound,Garbage
Our street smells because of garbage,Garbage
Garbage van driver not following route,Garbage
Garbage dumped near the water tank,Garbage
Empty plot being used as garbage dump,Garbage
Trash blocking entry to our apartment,Garbage
Garbage collection has stopped in our ward,Garbage
Waste not cleared in front of our clinic,Garbage
Piles of cardboard and plastic waste on road,Garbage
Nearby restaurant dumping food waste openly,Garbage
Heavy garbage accumulation near hospital,Garbage
Colony maintenance waste disposal pending,Garbage
Waste not removed after construction work,Garbage
Garbage collected but not swept properly,Garbage
Drain water is overflowing,Drainage
Water logging in street,Drainage
Blocked drain causing flooding,Drainage
Gutter is choked near my house,Drainage
Sewage water on the road,Drainage
Nala blocked with garbage and silt,Drainage
Stormwater drain not flowing properly,Drainage
Overflowing drain near school,Drainage
Drain cover is missing and children may fall,Drainage
Open drain emitting foul smell,Drainage
Rainwater not draining from road,Drainage
Waterlogging in front of my shop,Drainage
Sewage line burst and water on road,Drainage
Underground drainage pipe leaking,Drainage
Manhole is open and overflowing,Drainage
Drain water entering our house,Drainage
Street flooded after light rain,Drainage
Blocked culvert causing water stagnation,Drainage
Drainage channel needs desilting urgently,Drainage
Sewer overflow near the mosque,Drainage
Drainage works incomplete and causing flood,Drainage
Water standing for days in my lane,Drainage
Drainage system blocked by plastic waste,Drainage
Broken drain wall causing flooding,Drainage
Foul smell from drainage near market,Drainage
Puddle on road not drying up for days,Drainage
Low-lying area flooding after rain,Drainage
Sewer pipe clogged and backing up,Drainage
Drain overflow reaching compound wall,Drainage
Black water flowing on road surface,Drainage
Stagnant water breeding mosquitoes,Drainage
Drain overflowing near temple,Drainage
Septic water on footpath near homes,Drainage
Canal blocked near colony entrance,Drainage
No proper outlet for stormwater in area,Drainage
Drainage work dug but not completed,Drainage
Mosquito menace because of stagnant water,Drainage
Waterlogging near hospital entrance,Drainage
Drain cleaning needed near school,Drainage
Overflow from manhole on the main road,Drainage
Gutter choke causing smell and flooding,Drainage
Water stagnation on road after small rain,Drainage
Old drainage pipe broken under road,Drainage
Sewage water mixing with drinking water,Drainage
Drain cover broken and no replacement,Drainage
Nala water overflowing into homes,Drainage
Flooding on footpath near drainage,Drainage
Sewer line needs immediate cleaning,Drainage
Road submerged due to drainage overflow,Drainage
Slum area drain heavily blocked,Drainage
No drainage facility in our lane,Drainage
Standing water creating health hazard,Drainage
Overflow from drain affecting traffic,Drainage
Broken manhole cover causing accidents,Drainage
Drain silted up and needs clearing,Drainage
Sewage backing up in houses nearby,Drainage
Drainage has not been cleaned in months,Drainage
Water logging after rain not clearing,Drainage
Stormwater mixed with sewage on road,Drainage
Old drain not repaired after road work,Drainage
Culvert blocked by debris near bridge,Drainage
Drain near park wall overflowing,Drainage
Discharge point blocked by construction,Drainage
Water flow on road due to drain break,Drainage
Open nala near colony is health risk,Drainage
Sewage smell from drain near our flat,Drainage
Rainwater channels blocked after storm,Drainage
Water borne disease fear due to drain flood,Drainage
Blocked storm drain near main road,Drainage
Drainage maintenance not done this season,Drainage
Street light not working,Streetlight
No lights at night,Streetlight
Lamp post is broken on our road,Streetlight
Streetlight has been off for a week,Streetlight
Dark road at night feels unsafe,Streetlight
Light bulb fused and not replaced,Streetlight
Entire street is dark after 8pm,Streetlight
Lights go off at midnight and road is pitch black,Streetlight
Street light pole tilted and dangerous,Streetlight
LED fitting broken on main road,Streetlight
No sodium light near the bus stop,Streetlight
Street light blinking and disturbing sleep,Streetlight
Wiring hanging from the light pole,Streetlight
Transformer issue causing no lights in area,Streetlight
Children scared to walk on dark street,Streetlight
Footpath has no lighting at night,Streetlight
Women feel unsafe due to no street lighting,Streetlight
Street light not repaired since two months,Streetlight
Half the lights in our colony are dead,Streetlight
Light pole wire cut by vandals,Streetlight
Road gets dark at 9 PM due to faulty lights,Streetlight
Street light pole number not visible,Streetlight
Light above zebra crossing not working,Streetlight
Overhead light near park gate is off,Streetlight
Night patrolling difficult due to no lights,Streetlight
Multiple consecutive lights non-functional,Streetlight
Solar street light battery dead,Streetlight
Light at the junction not working,Streetlight
Public lighting down near the school,Streetlight
Colony road in complete darkness at night,Streetlight
Theft happened because street was dark,Streetlight
Light timer malfunctioning in our area,Streetlight
"Street light on all day, off at night",Streetlight
Power supply to light post disconnected,Streetlight
Old tubelight on pole needs replacement,Streetlight
Light near the hospital is non-functional,Streetlight
New street light poles installed but no power,Streetlight
Driver nearly missed turn due to no light,Streetlight
Traffic signal area has no street light,Streetlight
Accident occurred on dark road yesterday,Streetlight
Only one light for the whole long road,Streetlight
Street light pole fallen after storm,Streetlight
Overhead wire broken near street light,Streetlight
Light at apartment main gate not working,Streetlight
Dark stretch between two main roads,Streetlight
Footpath light poles have no bulbs,Streetlight
Heavy shade trees making the road darker,Streetlight
Night shift workers afraid to walk,Streetlight
Poor visibility at road corner at night,Streetlight
Electric maintenance not done on lights,Streetlight
Lights in park switched off permanently,Streetlight
Lights near culvert not working,Streetlight
Road dark near municipal school,Streetlight
Street light fitting broken after rain,Streetlight
Light post needs emergency repair,Streetlight
Snatcher attacked because road was dark,Streetlight
Municipal light off in our bylane,Streetlight
